Vehicle_ID,Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,Health_Score,KM_Range_Before_Defect
V02212,Sedan,13,102788,110,2509,37,17.5,12.81,35,56,Good,Medium,4,Yes,70,"50,001–80,000"
V02213,Hatchback,15,181163,93,1842,37,6.3,12.99,37,106,Critical,Low,5,Yes,70,"50,001–80,000"
V02214,Sedan,12,68254,93,2749,40,19.3,11.22,34,79,Critical,High,1,Yes,50,"25,001–50,000"
V02215,Truck,12,144956,101,2109,29,12.2,11.02,37,60,Good,Medium,6,No,50,"25,001–50,000"
V02216,SUV,5,179212,108,1902,25,6.8,12.64,35,34,Worn,High,11,Yes,30,"10,001–25,000"
V02217,Truck,5,85991,96,2800,25,18.1,12.33,42,81,Moderate,High,3,Yes,60,"50,001–80,000"
V02218,Sedan,9,178597,93,2768,23,16.8,12.85,43,90,Worn,High,9,No,50,"25,001–50,000"
V02219,Truck,14,89236,94,1850,23,10.0,11.89,44,33,Critical,High,4,Yes,30,"10,001–25,000"
V02220,SUV,12,58972,89,2106,27,16.9,11.44,40,30,Worn,High,7,No,50,"25,001–50,000"
V02221,Sedan,8,83496,107,2697,39,8.0,12.27,43,91,Critical,Medium,10,Yes,50,"25,001–50,000"
V02222,Truck,10,79557,99,2874,35,12.7,12.91,45,65,Critical,Low,12,No,70,"50,001–80,000"
V02223,Sedan,12,166302,107,2031,24,19.7,11.47,41,35,Critical,High,6,No,10,"0–10,000"
V02224,SUV,13,160952,92,1641,26,15.1,11.99,40,105,Worn,Low,11,No,60,"50,001–80,000"
V02225,SUV,13,87649,101,1666,25,5.4,12.33,36,32,Critical,Medium,3,Yes,30,"10,001–25,000"
V02226,Hatchback,2,84752,92,1947,34,19.1,12.34,36,95,Moderate,Low,12,Yes,90,"80,001+"
V02227,SUV,2,168279,91,1878,21,6.2,12.15,34,53,Critical,Low,5,No,60,"50,001–80,000"
V02228,SUV,12,162534,102,2885,33,10.1,11.74,44,94,Critical,Medium,7,No,50,"25,001–50,000"
V02229,Hatchback,7,125401,95,1934,33,16.9,12.03,45,66,Good,High,6,No,80,"80,001+"
V02230,Sedan,11,95873,94,2000,27,13.8,12.31,36,32,Moderate,Medium,2,No,70,"50,001–80,000"
V02231,SUV,12,63528,97,1765,35,11.5,12.28,37,96,Moderate,High,7,No,70,"50,001–80,000"
V02232,Truck,3,112895,109,2041,45,16.9,12.68,42,99,Good,High,1,Yes,60,"50,001–80,000"
V02233,SUV,9,81525,103,2760,31,11.0,13.0,30,79,Good,High,10,No,50,"25,001–50,000"
V02234,Hatchback,8,103804,102,2687,44,11.5,12.69,40,47,Moderate,Low,1,Yes,80,"80,001+"
V02235,Sedan,12,9537,108,1819,20,10.3,11.34,31,106,Critical,High,3,No,10,"0–10,000"
V02236,Sedan,3,99966,93,2356,32,10.2,12.79,41,107,Critical,High,2,No,60,"50,001–80,000"
V02237,SUV,13,117979,106,1508,38,8.4,11.44,33,76,Critical,Medium,8,Yes,50,"25,001–50,000"
V02238,SUV,3,100010,87,1791,41,8.4,12.59,40,105,Critical,Medium,8,No,80,"80,001+"
V02239,Sedan,9,108655,98,2459,22,10.7,12.66,34,57,Good,High,11,Yes,50,"25,001–50,000"
V02240,Sedan,5,134508,102,2638,26,17.4,11.68,44,60,Moderate,Low,6,No,60,"50,001–80,000"
V02241,SUV,8,59860,99,2656,36,9.6,11.95,33,51,Worn,High,5,Yes,80,"80,001+"
V02242,Sedan,1,159261,93,2009,27,7.1,11.88,32,73,Good,Low,3,No,80,"80,001+"
V02243,Sedan,1,82318,105,2827,32,16.6,11.45,39,108,Critical,Low,8,No,60,"50,001–80,000"
V02244,Hatchback,5,66361,92,2357,25,19.0,12.78,43,50,Worn,High,3,No,60,"50,001–80,000"
V02245,Truck,15,76490,108,1551,33,8.4,11.63,33,93,Worn,Low,10,Yes,60,"50,001–80,000"
V02246,Truck,3,79579,95,1795,35,13.0,11.52,39,63,Worn,High,2,No,80,"80,001+"
V02247,Truck,5,42235,88,2097,47,14.0,12.44,35,91,Moderate,Medium,6,No,100,"80,001+"
V02248,Hatchback,3,72436,99,2201,30,6.2,11.35,41,86,Moderate,Low,10,No,90,"80,001+"
V02249,Truck,2,126339,108,2433,27,12.5,11.61,33,101,Critical,Low,10,No,30,"10,001–25,000"
V02250,SUV,15,154380,92,2268,46,12.5,12.67,36,100,Critical,Medium,4,Yes,70,"50,001–80,000"
V02251,Sedan,5,45632,90,2290,23,18.7,11.66,41,39,Moderate,Low,1,No,80,"80,001+"
V02252,SUV,13,43229,91,2829,48,10.4,11.48,43,81,Worn,High,9,Yes,60,"50,001–80,000"
V02253,Hatchback,11,178399,104,2483,26,14.3,12.67,33,44,Critical,High,12,Yes,0,"0–10,000"
V02254,Truck,7,91986,103,2463,23,14.1,11.9,38,66,Critical,High,5,No,20,"10,001–25,000"
V02255,Sedan,1,92209,101,2542,28,11.4,11.4,45,84,Critical,Low,7,No,40,"25,001–50,000"
V02256,Hatchback,2,132151,103,2683,49,18.9,11.47,45,35,Moderate,Low,11,Yes,70,"50,001–80,000"
V02257,Sedan,1,84142,98,2738,44,5.3,11.89,39,37,Moderate,Medium,5,No,100,"80,001+"
V02258,SUV,13,199081,88,1947,45,9.8,11.1,37,53,Moderate,High,9,Yes,60,"50,001–80,000"
V02259,Truck,11,29198,90,1720,40,15.9,11.19,42,65,Moderate,Low,1,No,90,"80,001+"
V02260,Sedan,12,132354,89,1980,47,8.1,11.52,40,38,Worn,High,4,No,70,"50,001–80,000"
V02261,Hatchback,13,152651,110,1857,31,12.9,11.03,39,86,Worn,High,9,Yes,40,"25,001–50,000"
V02262,SUV,8,37128,110,1856,28,13.0,11.72,35,36,Moderate,Medium,9,Yes,50,"25,001–50,000"
V02263,Hatchback,12,149704,108,2876,32,8.2,12.14,43,75,Critical,Medium,2,No,50,"25,001–50,000"
V02264,Truck,12,182572,101,1766,42,16.9,11.79,40,93,Moderate,Medium,5,No,70,"50,001–80,000"
V02265,SUV,14,61375,86,2175,41,12.4,11.76,44,42,Critical,High,3,No,50,"25,001–50,000"
V02266,SUV,9,105912,93,2728,45,16.6,11.21,31,91,Worn,Low,7,No,100,"80,001+"
V02267,Hatchback,1,150560,90,1982,25,15.9,12.4,30,44,Critical,Medium,5,Yes,60,"50,001–80,000"
V02268,Hatchback,13,139410,97,2394,38,9.6,11.26,38,78,Moderate,High,4,No,70,"50,001–80,000"
V02269,Truck,3,26389,105,2920,32,17.9,11.86,43,93,Critical,Low,12,No,50,"25,001–50,000"
V02270,SUV,13,7381,109,1927,30,9.2,11.88,34,63,Good,High,7,Yes,50,"25,001–50,000"
V02271,Truck,10,139084,89,2953,24,13.0,12.0,43,81,Critical,Low,4,No,60,"50,001–80,000"
V02272,Sedan,8,118075,109,1656,49,12.8,12.61,31,88,Critical,High,5,Yes,40,"25,001–50,000"
V02273,Truck,11,150372,91,1784,47,13.9,12.35,43,39,Good,Medium,8,Yes,90,"80,001+"
V02274,Hatchback,3,5590,90,2747,26,12.0,11.64,36,73,Moderate,Low,3,No,80,"80,001+"
V02275,Hatchback,13,59546,88,1716,23,16.3,11.27,45,101,Moderate,Low,9,No,60,"50,001–80,000"
V02276,Truck,14,75859,89,1748,29,12.7,12.57,44,101,Critical,Medium,4,No,50,"25,001–50,000"
V02277,Sedan,6,194538,93,1546,47,14.2,11.74,37,47,Moderate,Low,5,No,100,"80,001+"
V02278,Hatchback,9,165895,106,1875,35,8.5,12.28,32,84,Worn,Medium,10,Yes,70,"50,001–80,000"
V02279,Sedan,7,93759,108,2520,36,15.8,11.55,32,40,Moderate,High,5,No,60,"50,001–80,000"
V02280,Truck,13,133190,101,2547,22,16.7,11.86,39,110,Moderate,High,6,No,30,"10,001–25,000"
V02281,Sedan,2,22256,104,2191,22,12.0,12.98,36,86,Worn,High,12,Yes,30,"10,001–25,000"
V02282,Sedan,9,167192,86,2203,50,5.4,11.86,45,67,Good,Medium,2,No,100,"80,001+"
V02283,Truck,14,76639,92,1600,50,15.9,11.31,31,101,Good,Medium,2,No,90,"80,001+"
V02284,Sedan,10,92850,101,1559,41,19.9,11.5,38,54,Worn,Medium,1,Yes,80,"80,001+"
V02285,SUV,5,137597,88,2437,36,16.7,11.01,41,109,Critical,Medium,6,No,80,"80,001+"
V02286,Truck,10,120680,90,2917,29,14.0,11.82,41,104,Worn,Medium,8,No,80,"80,001+"
V02287,Hatchback,2,60356,90,2173,38,19.4,11.11,40,34,Worn,Low,8,No,100,"80,001+"
V02288,Hatchback,11,169460,110,2805,47,8.6,11.79,34,34,Worn,Low,9,Yes,60,"50,001–80,000"
V02289,SUV,9,58269,87,2918,30,13.5,12.54,41,85,Critical,Low,8,No,80,"80,001+"
V02290,Sedan,13,25370,110,1656,32,16.4,11.77,30,54,Critical,High,6,Yes,30,"10,001–25,000"
V02291,SUV,8,162430,108,2364,38,7.3,11.56,40,93,Worn,Low,3,No,80,"80,001+"
V02292,Hatchback,13,65446,86,1897,25,5.4,12.37,44,98,Good,Medium,8,Yes,70,"50,001–80,000"
V02293,SUV,11,7190,94,2423,47,5.4,11.81,36,77,Critical,Medium,2,No,70,"50,001–80,000"
V02294,SUV,12,80479,105,2215,26,9.7,11.48,41,87,Critical,High,6,Yes,10,"0–10,000"
V02295,SUV,7,142998,105,2760,45,11.5,11.94,35,72,Critical,Low,8,No,60,"50,001–80,000"
V02296,SUV,10,51729,93,1681,35,14.7,11.25,41,102,Moderate,Medium,8,Yes,100,"80,001+"
V02297,Truck,10,188506,105,2544,26,11.5,12.68,44,67,Moderate,Low,12,No,50,"25,001–50,000"
V02298,Sedan,12,19515,92,2711,34,13.4,11.54,35,96,Worn,Low,12,No,80,"80,001+"
V02299,Sedan,11,115607,96,2209,46,14.0,11.03,32,44,Moderate,High,5,Yes,70,"50,001–80,000"
V02300,Hatchback,11,156599,107,1659,47,15.9,12.68,44,52,Critical,High,1,Yes,30,"10,001–25,000"
V02301,Hatchback,12,11096,102,2201,23,12.2,12.29,39,93,Worn,Low,11,Yes,40,"25,001–50,000"
V02302,Sedan,2,25061,86,2565,23,15.0,12.5,34,30,Good,High,3,No,60,"50,001–80,000"
V02303,Sedan,6,111204,104,1889,23,19.6,12.87,35,30,Good,High,11,No,30,"10,001–25,000"
V02304,SUV,7,65114,93,2500,27,8.4,11.72,45,71,Good,Low,4,No,80,"80,001+"
V02305,Hatchback,11,69537,94,2309,35,18.9,11.36,35,32,Good,Low,4,Yes,90,"80,001+"
V02306,SUV,5,155991,105,2882,22,18.7,12.44,43,107,Critical,High,1,No,20,"10,001–25,000"
V02307,SUV,9,149578,103,2961,41,7.1,11.45,43,62,Good,High,12,Yes,50,"25,001–50,000"
V02308,Truck,12,78614,88,2043,50,14.6,12.16,37,109,Moderate,Medium,10,No,80,"80,001+"
V02309,SUV,1,139229,95,2778,20,7.3,11.7,39,71,Moderate,High,3,No,60,"50,001–80,000"
V02310,Truck,12,195078,104,2780,39,13.4,11.37,43,63,Moderate,Medium,3,Yes,70,"50,001–80,000"
V02311,Hatchback,10,149528,85,2451,23,7.4,11.18,45,44,Moderate,Medium,10,No,70,"50,001–80,000"
V02312,Sedan,5,183719,105,2221,37,18.2,11.39,38,61,Good,Medium,12,No,70,"50,001–80,000"
V02313,Truck,5,119194,91,1722,29,5.4,12.67,40,59,Worn,High,1,Yes,60,"50,001–80,000"
V02314,Sedan,6,129656,107,2091,22,14.1,11.88,41,75,Moderate,High,8,No,40,"25,001–50,000"
V02315,Truck,2,136165,107,2844,25,12.7,12.0,36,107,Good,High,9,No,30,"10,001–25,000"
V02316,Truck,10,51571,87,2549,39,19.9,12.99,31,107,Worn,Medium,11,No,90,"80,001+"
V02317,Truck,15,176187,104,2113,27,14.6,11.98,32,88,Critical,Medium,9,Yes,20,"10,001–25,000"
V02318,SUV,15,73463,96,2186,22,18.1,11.16,43,30,Good,Medium,10,No,60,"50,001–80,000"
V02319,Truck,1,17425,101,1708,29,10.5,12.29,36,87,Moderate,Medium,6,No,60,"50,001–80,000"
V02320,Truck,1,167119,103,1721,28,17.9,11.27,37,79,Worn,High,9,No,30,"10,001–25,000"
V02321,Sedan,3,70900,105,2942,50,6.9,11.49,43,62,Worn,Low,12,Yes,70,"50,001–80,000"
V02322,Truck,7,197530,92,2374,50,6.7,11.56,45,97,Worn,Medium,1,Yes,100,"80,001+"
V02323,SUV,1,24762,110,2922,30,7.6,12.71,34,80,Moderate,High,2,Yes,60,"50,001–80,000"
V02324,Sedan,4,20674,95,1765,35,16.8,11.6,38,85,Moderate,Medium,5,No,100,"80,001+"
V02325,Sedan,2,198684,86,2217,24,11.0,12.33,44,59,Critical,High,8,No,40,"25,001–50,000"
V02326,Hatchback,8,19512,92,1918,35,12.3,12.92,36,50,Critical,Medium,8,No,80,"80,001+"
V02327,Hatchback,1,199956,110,2022,42,16.3,12.53,44,59,Moderate,High,6,Yes,60,"50,001–80,000"
V02328,Sedan,11,129072,108,2950,25,10.3,12.95,41,49,Moderate,Low,11,Yes,40,"25,001–50,000"
V02329,Truck,1,169514,96,1846,26,8.9,12.82,34,101,Critical,High,7,No,40,"25,001–50,000"
V02330,Sedan,11,31101,97,2976,27,18.3,12.23,38,86,Good,High,7,Yes,50,"25,001–50,000"
V02331,Sedan,6,8156,102,2509,37,13.0,11.95,41,42,Critical,High,8,No,40,"25,001–50,000"
V02332,Truck,1,113266,88,2066,34,9.3,11.22,45,56,Good,High,10,Yes,70,"50,001–80,000"
V02333,Hatchback,8,150610,91,2844,24,14.4,11.3,34,99,Critical,Medium,9,No,50,"25,001–50,000"
V02334,Truck,11,194568,93,2477,43,15.1,12.39,30,57,Good,High,7,Yes,70,"50,001–80,000"
V02335,Sedan,6,120734,90,2136,47,14.6,11.42,34,36,Good,Low,8,Yes,100,"80,001+"
V02336,SUV,8,120539,109,2525,24,14.2,11.59,39,37,Critical,High,3,No,20,"10,001–25,000"
V02337,Hatchback,10,57062,98,1869,38,18.4,12.4,45,83,Moderate,High,11,No,70,"50,001–80,000"
V02338,Truck,13,192220,98,1883,22,8.1,11.5,31,43,Good,High,7,No,50,"25,001–50,000"
V02339,Sedan,1,6284,106,2801,41,10.1,12.59,32,98,Moderate,High,3,No,60,"50,001–80,000"
V02340,SUV,6,183573,94,1739,44,18.7,12.82,34,45,Worn,Medium,2,No,100,"80,001+"
V02341,Hatchback,13,153407,103,2870,39,10.0,11.69,37,77,Critical,High,5,No,30,"10,001–25,000"
V02342,Truck,13,92878,95,2108,29,18.0,12.1,38,103,Worn,Medium,6,No,70,"50,001–80,000"
V02343,Hatchback,4,112236,88,2352,42,19.5,12.49,30,34,Moderate,Medium,1,No,100,"80,001+"
V02344,Sedan,10,111117,104,2166,34,8.4,12.71,38,64,Critical,Medium,9,Yes,50,"25,001–50,000"
V02345,Truck,4,139742,94,2020,38,18.3,11.79,43,100,Good,High,4,No,80,"80,001+"
V02346,Hatchback,12,20963,88,1719,22,13.3,11.43,31,84,Critical,Medium,12,No,40,"25,001–50,000"
V02347,SUV,12,184823,110,2942,41,8.6,12.77,43,99,Critical,Medium,7,No,50,"25,001–50,000"
V02348,Hatchback,3,103010,89,2736,47,18.8,11.84,39,72,Worn,High,6,No,80,"80,001+"
V02349,Hatchback,6,60022,104,2379,33,14.4,11.28,35,78,Good,High,7,No,60,"50,001–80,000"
V02350,Truck,4,160981,95,2632,48,19.7,12.04,42,56,Worn,Low,9,No,90,"80,001+"
V02351,SUV,5,54856,98,2447,20,5.3,12.34,35,68,Moderate,Medium,9,Yes,70,"50,001–80,000"
V02352,SUV,11,35339,110,1748,31,5.6,11.66,35,75,Moderate,Medium,1,No,70,"50,001–80,000"
V02353,SUV,7,178733,92,2298,27,9.0,11.1,31,77,Critical,Low,5,No,60,"50,001–80,000"
V02354,SUV,8,91828,100,2327,25,5.4,11.99,35,48,Good,Low,5,No,80,"80,001+"
V02355,Truck,3,54538,102,2876,48,18.2,12.78,35,91,Critical,High,4,Yes,40,"25,001–50,000"
V02356,Hatchback,12,38618,85,2395,32,9.9,11.2,34,63,Worn,High,9,No,60,"50,001–80,000"
V02357,Truck,4,138515,106,2410,49,17.8,12.72,38,34,Critical,Low,12,No,50,"25,001–50,000"
V02358,Truck,9,22843,104,1568,36,16.7,11.86,39,80,Moderate,Low,1,No,80,"80,001+"
V02359,Hatchback,13,122553,96,2789,37,17.8,12.05,32,55,Good,Low,9,Yes,80,"80,001+"
V02360,Hatchback,5,77016,101,1654,43,12.8,11.91,38,68,Good,Low,1,No,80,"80,001+"
V02361,Sedan,7,7370,99,2015,43,8.5,11.37,40,76,Moderate,High,4,No,80,"80,001+"
V02362,SUV,4,149835,87,2190,31,13.9,11.39,43,60,Critical,Medium,4,Yes,80,"80,001+"
V02363,SUV,10,97880,110,2888,27,9.7,12.64,38,101,Worn,Low,9,No,50,"25,001–50,000"
V02364,SUV,3,47772,103,1508,50,16.5,11.14,33,54,Moderate,High,8,No,60,"50,001–80,000"
V02365,Truck,14,197181,95,2499,28,7.6,11.9,38,58,Moderate,Medium,5,Yes,70,"50,001–80,000"
V02366,Hatchback,4,172933,101,1545,43,19.4,11.16,38,94,Critical,High,8,No,40,"25,001–50,000"
V02367,SUV,1,92958,109,1805,36,13.0,12.74,43,77,Critical,Low,2,Yes,60,"50,001–80,000"
V02368,Truck,7,116230,102,2880,48,9.2,12.15,44,79,Worn,High,9,Yes,50,"25,001–50,000"
V02369,SUV,15,7108,101,2074,21,18.4,12.98,39,30,Critical,Medium,12,No,20,"10,001–25,000"
V02370,Truck,12,47342,96,1780,43,5.0,12.94,38,101,Moderate,Low,9,No,80,"80,001+"
V02371,SUV,8,24102,105,1982,49,13.7,12.16,37,95,Critical,High,12,No,30,"10,001–25,000"
V02372,SUV,2,188830,94,2304,42,10.7,12.74,33,73,Worn,High,1,No,80,"80,001+"
V02373,SUV,12,102169,98,1650,37,6.1,11.31,42,80,Moderate,Medium,10,Yes,80,"80,001+"
V02374,Sedan,14,47642,93,2649,49,17.8,11.01,32,81,Moderate,High,11,Yes,60,"50,001–80,000"
V02375,Sedan,1,40556,104,2072,32,10.6,12.56,45,39,Good,Medium,12,No,70,"50,001–80,000"
V02376,Sedan,3,50489,109,2398,22,18.2,11.42,35,93,Worn,Medium,7,No,60,"50,001–80,000"
V02377,Truck,1,166249,102,1706,30,14.9,11.48,32,76,Good,Medium,11,Yes,70,"50,001–80,000"
V02378,SUV,10,162062,110,2330,24,6.7,11.64,40,36,Critical,High,7,No,20,"10,001–25,000"
V02379,Sedan,9,153085,108,2286,49,14.3,12.83,31,77,Good,High,12,No,50,"25,001–50,000"
V02380,Hatchback,12,155867,86,1736,40,15.7,11.44,41,68,Good,Medium,5,No,90,"80,001+"
V02381,Hatchback,14,123600,97,1810,22,11.7,12.46,38,49,Moderate,Low,7,No,70,"50,001–80,000"
V02382,SUV,7,136039,107,1716,48,16.2,11.45,39,53,Moderate,High,4,Yes,60,"50,001–80,000"
V02383,SUV,12,63583,92,2450,33,17.3,11.11,43,109,Critical,High,11,Yes,40,"25,001–50,000"
V02384,Hatchback,4,41809,94,1991,36,14.7,12.74,33,59,Critical,Low,4,Yes,80,"80,001+"
V02385,Truck,11,106713,98,1952,37,18.2,12.19,42,43,Worn,Low,5,No,90,"80,001+"
V02386,Truck,8,188859,97,2791,42,16.3,11.88,41,45,Good,High,2,No,80,"80,001+"
V02387,Sedan,4,20043,89,1651,24,15.7,11.8,44,80,Worn,Medium,1,Yes,80,"80,001+"
V02388,Hatchback,6,27964,90,2116,29,7.5,12.75,37,45,Worn,High,2,Yes,60,"50,001–80,000"
V02389,SUV,9,71745,107,1535,48,7.8,12.29,40,65,Good,Medium,10,No,70,"50,001–80,000"
V02390,Truck,5,176108,90,2133,49,11.5,12.54,38,89,Worn,Medium,10,No,90,"80,001+"
V02391,Hatchback,12,183816,98,1814,27,6.9,12.62,45,41,Moderate,High,7,No,50,"25,001–50,000"
V02392,SUV,8,115784,102,2634,37,6.2,11.57,37,35,Good,High,6,Yes,60,"50,001–80,000"
V02393,Hatchback,15,28975,109,1618,42,11.6,12.39,43,52,Moderate,High,2,Yes,50,"25,001–50,000"
V02394,Hatchback,9,55629,107,1808,38,18.9,12.56,31,43,Good,Medium,2,No,80,"80,001+"
V02395,Sedan,2,42025,99,1789,40,12.0,11.85,41,88,Good,High,6,Yes,80,"80,001+"
V02396,Sedan,14,69228,97,2903,44,15.9,12.69,30,37,Moderate,Low,8,Yes,90,"80,001+"
V02397,Sedan,8,37559,88,1957,28,14.5,12.56,36,83,Worn,High,6,No,60,"50,001–80,000"
V02398,Sedan,11,142716,98,2807,46,15.7,11.75,43,60,Critical,Low,7,Yes,70,"50,001–80,000"
V02399,SUV,4,33336,104,2642,37,5.7,12.06,33,100,Critical,High,5,Yes,40,"25,001–50,000"
V02400,Sedan,5,13946,96,2806,39,7.9,12.82,41,81,Critical,Low,10,Yes,70,"50,001–80,000"
V02401,SUV,8,149759,98,1986,48,6.3,11.84,45,34,Critical,Low,7,Yes,80,"80,001+"
V02402,SUV,8,124490,100,2563,32,15.0,12.21,38,50,Worn,Medium,10,Yes,90,"80,001+"
V02403,Truck,10,162741,101,1781,33,14.0,11.21,31,88,Critical,Low,2,Yes,60,"50,001–80,000"
V02404,Hatchback,7,59353,104,1894,22,12.6,12.09,39,101,Worn,Medium,11,No,50,"25,001–50,000"
V02405,Hatchback,15,105982,93,2743,21,13.2,12.66,37,57,Worn,High,9,No,40,"25,001–50,000"
V02406,SUV,11,13554,95,2311,31,11.1,11.54,38,97,Critical,Medium,4,No,70,"50,001–80,000"
V02407,Sedan,4,118588,95,2711,37,9.8,12.17,38,40,Worn,High,6,Yes,80,"80,001+"
V02408,Truck,2,50643,99,2500,37,11.1,11.94,30,48,Moderate,Medium,8,Yes,100,"80,001+"
V02409,Sedan,9,184445,110,1610,40,12.4,11.27,34,50,Worn,Low,4,Yes,80,"80,001+"
V02410,SUV,5,27981,102,2610,42,6.0,11.07,37,83,Critical,Medium,1,Yes,60,"50,001–80,000"
V02411,SUV,6,120565,98,2206,33,13.2,11.14,36,103,Worn,Low,2,No,100,"80,001+"
V02412,SUV,4,45244,110,1557,27,6.1,12.94,41,99,Critical,Medium,6,Yes,40,"25,001–50,000"
V02413,Truck,1,175652,87,2083,37,11.6,11.01,36,95,Worn,Medium,10,Yes,90,"80,001+"
V02414,Truck,4,132980,108,2130,46,7.6,11.97,42,68,Critical,Low,10,Yes,50,"25,001–50,000"
V02415,Hatchback,14,106489,88,1717,26,17.0,12.72,40,72,Good,High,7,No,50,"25,001–50,000"
V02416,Sedan,7,149069,101,2131,30,9.8,11.04,33,104,Critical,Medium,8,No,60,"50,001–80,000"
V02417,Hatchback,11,21483,95,2117,45,13.7,11.67,31,75,Critical,Low,10,No,60,"50,001–80,000"
V02418,Sedan,1,33340,99,2863,27,14.2,12.23,40,45,Worn,High,3,No,60,"50,001–80,000"
V02419,Hatchback,4,91835,97,2560,26,8.1,11.1,32,32,Worn,Medium,7,No,80,"80,001+"
V02420,SUV,5,135519,97,2833,37,16.2,12.32,38,57,Worn,Low,1,No,100,"80,001+"
V02421,SUV,8,94121,90,1724,27,19.9,12.08,30,105,Good,High,7,No,60,"50,001–80,000"
V02422,Hatchback,7,73306,95,1911,26,11.4,12.86,32,92,Worn,Medium,8,No,80,"80,001+"
V02423,Sedan,2,153076,95,2784,20,12.0,12.42,31,65,Moderate,High,9,Yes,50,"25,001–50,000"
V02424,Truck,3,44638,103,2185,34,11.1,11.33,38,86,Good,High,9,No,50,"25,001–50,000"
V02425,Truck,5,66262,87,1702,23,9.2,11.21,32,85,Worn,High,10,No,50,"25,001–50,000"
V02426,Hatchback,12,105336,92,2919,49,5.5,12.44,31,98,Worn,Medium,11,Yes,80,"80,001+"
V02427,Hatchback,9,49445,94,2262,46,11.8,11.7,44,106,Critical,High,9,Yes,50,"25,001–50,000"
V02428,Truck,11,54588,87,2733,43,14.4,11.99,30,90,Moderate,Low,11,Yes,80,"80,001+"
V02429,Truck,4,10662,109,1596,46,12.7,11.79,39,30,Worn,Medium,10,No,70,"50,001–80,000"
V02430,SUV,1,57041,88,2480,45,19.0,11.01,40,66,Good,Medium,10,No,90,"80,001+"
V02431,Truck,5,70419,96,2130,32,15.5,12.53,43,82,Good,High,6,No,80,"80,001+"
V02432,Truck,13,86558,94,1711,28,12.1,12.28,45,110,Good,High,3,Yes,50,"25,001–50,000"
V02433,Sedan,5,124325,89,2766,35,10.8,12.78,34,61,Moderate,Low,10,No,90,"80,001+"
V02434,Sedan,14,189013,104,2157,33,19.6,11.73,35,89,Good,Medium,8,No,70,"50,001–80,000"
V02435,SUV,3,69784,99,1624,38,14.3,11.48,38,30,Moderate,High,9,Yes,70,"50,001–80,000"
V02436,Hatchback,10,185601,107,2396,32,7.0,12.0,31,94,Worn,Low,5,Yes,80,"80,001+"
V02437,SUV,8,113755,103,1858,44,8.9,12.04,36,35,Critical,High,2,Yes,40,"25,001–50,000"
V02438,Sedan,10,197365,89,1581,48,12.9,11.41,32,65,Good,High,1,No,80,"80,001+"
V02439,Hatchback,2,197017,99,2246,37,5.2,11.9,45,100,Moderate,Medium,12,No,90,"80,001+"
V02440,SUV,1,154896,86,2499,42,9.4,12.4,44,58,Worn,Low,3,No,100,"80,001+"
V02441,SUV,12,77059,110,2421,49,6.4,11.96,40,47,Critical,High,10,Yes,20,"10,001–25,000"
V02442,SUV,1,196879,103,2462,36,5.0,11.11,42,69,Moderate,High,4,Yes,60,"50,001–80,000"
V02443,Truck,14,191155,104,1643,44,9.1,12.66,39,49,Good,Low,1,Yes,70,"50,001–80,000"
V02444,Truck,5,174624,91,2558,48,13.7,11.13,35,83,Good,Medium,11,Yes,90,"80,001+"
V02445,Hatchback,10,176210,109,1721,39,16.6,11.1,34,96,Critical,Low,7,No,60,"50,001–80,000"
V02446,Hatchback,13,102604,102,2131,42,9.3,11.37,39,48,Good,Medium,7,No,70,"50,001–80,000"
V02447,Hatchback,14,181164,91,1578,44,9.3,11.26,38,48,Moderate,Low,3,Yes,90,"80,001+"
V02448,Truck,5,103608,110,2234,29,18.1,12.84,32,70,Worn,Low,4,No,60,"50,001–80,000"
V02449,Truck,1,32682,96,2228,21,6.9,11.28,31,81,Worn,Low,2,Yes,80,"80,001+"
V02450,SUV,13,198683,110,1795,34,9.6,11.73,30,51,Worn,Low,4,No,70,"50,001–80,000"
V02451,Sedan,11,48324,104,1821,23,12.3,12.38,36,92,Good,Medium,3,No,50,"25,001–50,000"
V02452,Hatchback,6,153551,109,2823,44,13.1,11.71,33,91,Good,Medium,7,No,80,"80,001+"
V02453,SUV,8,178806,101,1948,21,13.8,12.95,35,110,Worn,Low,12,Yes,50,"25,001–50,000"
V02454,SUV,6,20486,100,2444,21,11.4,11.07,38,83,Critical,Medium,12,Yes,50,"25,001–50,000"
V02455,SUV,11,178929,107,1872,20,12.6,11.74,31,67,Good,Low,2,No,50,"25,001–50,000"
V02456,Hatchback,12,140227,101,2644,35,14.1,12.17,40,40,Critical,Low,9,No,40,"25,001–50,000"
V02457,SUV,13,179662,110,2380,29,10.4,12.99,34,55,Critical,Medium,10,No,20,"10,001–25,000"
V02458,Sedan,6,84589,104,2213,42,10.4,11.58,35,104,Worn,Low,10,Yes,70,"50,001–80,000"
V02459,Hatchback,9,105471,98,2682,24,18.9,11.45,37,82,Moderate,High,10,No,50,"25,001–50,000"
V02460,Hatchback,4,40328,92,2445,28,18.1,11.34,43,46,Good,High,5,No,60,"50,001–80,000"
