Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect,Remaining_KM
Truck,7,216227,104,2327,30,8.6,12.66,29,29,Good,Low,3,No,50000-80000,66353.23219397024
Sedan,11,175318,92,3363,32,17.1,12.45,42,29,Critical,Medium,11,No,10000-25000,20864.614420668076
Sedan,12,127404,89,2737,41,14.8,11.77,35,28,Good,Low,12,No,50000-80000,61920.98757329887
SUV,11,9184,95,1517,36,12.5,12.25,38,34,Moderate,Medium,1,No,80000+,92077.45568193411
Sedan,3,36509,89,2216,34,13.5,11.78,32,35,Good,High,8,No,25000-50000,42705.73063814932
SUV,9,179097,89,1575,31,8.8,11.84,38,33,Good,Low,2,No,80000+,87389.1952337645
Hatchback,7,16267,89,755,35,18.8,12.32,31,33,Moderate,Low,9,No,50000-80000,72261.81827882702
Truck,12,220424,111,1989,26,7.8,12.78,28,28,Good,Low,2,No,25000-50000,40325.29610306227
Sedan,10,213639,99,2622,34,11.2,12.49,26,33,Good,Low,11,No,25000-50000,36948.609835839816
Truck,3,209634,110,2439,33,5.3,12.44,32,31,Moderate,High,8,No,3000-10000,4336.272258427554
Hatchback,4,78321,94,1480,41,17.9,12.73,35,29,Good,Medium,11,No,50000-80000,71601.22164971437
Sedan,12,94535,96,2881,39,14.7,12.06,40,28,Critical,Low,3,No,25000-50000,48740.4825847138
Sedan,7,82589,89,2939,34,12.7,12.8,32,29,Worn,Medium,5,No,50000-80000,74004.72726410646
Sedan,6,38089,83,3376,28,13.9,11.79,44,28,Moderate,Low,6,No,50000-80000,71033.02286186867
Sedan,7,42432,87,1310,33,18.4,12.04,31,36,Critical,Low,10,No,25000-50000,38025.748654109935
Sedan,4,44868,90,1879,34,16.1,12.29,30,31,Good,Medium,12,No,25000-50000,42115.73507741766
Hatchback,8,36125,90,3054,37,20.6,12.2,25,35,Good,Low,12,No,50000-80000,66823.01498047682
SUV,12,211394,89,1334,35,9.6,12.71,38,31,Moderate,Medium,2,Yes,50000-80000,58308.13924506207
Hatchback,3,120844,97,2748,28,20.4,12.42,29,35,Moderate,High,3,No,10000-25000,13733.369700083998
Truck,10,198971,114,1322,32,4.6,12.25,37,30,Worn,Low,1,No,25000-50000,30440.43263871867
Hatchback,7,5405,86,3113,42,19.9,11.96,35,29,Good,Medium,9,Yes,50000-80000,75660.09234162491
Truck,2,79875,96,696,21,9.9,12.44,31,35,Good,Low,3,No,25000-50000,31355.69341720654
SUV,3,39018,106,1703,29,11.5,12.29,31,31,Worn,Low,4,No,25000-50000,44076.5675768684
Hatchback,7,198705,97,1010,43,18.1,12.59,41,30,Worn,Medium,9,No,50000-80000,56663.93618435526
Truck,2,120448,112,1696,20,3.8,12.62,34,33,Good,Low,1,No,10000-25000,24443.9940543873
SUV,11,92774,93,2676,31,10.3,12.78,31,35,Moderate,Low,1,No,80000+,84330.09055341099
Sedan,10,69658,87,3463,26,13.9,11.74,45,33,Critical,Low,7,Yes,25000-50000,29659.603231906778
Sedan,9,183537,90,1443,39,13.9,12.53,43,32,Moderate,Low,4,No,80000+,86849.51538208353
SUV,3,127984,104,1177,37,9.3,12.75,26,30,Worn,Low,9,No,80000+,96404.56703301241
Sedan,1,138386,86,880,35,12.3,11.72,27,34,Good,Low,3,No,80000+,98014.28950234351
Sedan,3,198461,95,3250,28,17.7,12.73,25,31,Moderate,Low,7,Yes,25000-50000,44151.08354276141
Sedan,10,15087,94,1436,29,16.3,12.32,28,31,Good,Low,6,No,80000+,99234.72116333143
Truck,8,32697,112,2813,32,8.6,12.26,34,29,Good,Low,9,No,25000-50000,46833.58887264453
Truck,3,236908,108,1201,21,7.0,12.65,45,33,Good,Low,8,No,10000-25000,22482.45428666257
SUV,6,215687,98,956,39,11.2,12.48,30,33,Moderate,Low,8,No,80000+,84736.56853319645
Sedan,4,122383,93,1087,35,11.9,11.84,37,35,Moderate,High,1,No,25000-50000,38444.95417362053
Sedan,12,47329,91,1174,38,18.0,12.66,33,28,Critical,Medium,3,No,25000-50000,40571.92645822154
Hatchback,9,35473,85,1000,45,14.9,12.62,31,33,Good,High,5,Yes,25000-50000,37914.614821354306
SUV,3,58287,95,2183,28,8.7,12.05,35,31,Moderate,Low,11,No,25000-50000,34906.69749806954
Hatchback,3,156281,86,1393,36,16.2,11.82,43,34,Good,Low,1,No,80000+,86568.89336299953
Sedan,12,149728,98,2170,41,13.8,12.06,33,29,Good,Low,3,No,80000+,99595.73521432052
SUV,2,113251,103,3063,27,11.1,12.08,31,30,Critical,Medium,12,No,10000-25000,15493.680786367484
SUV,4,115070,92,2747,26,7.4,12.62,29,32,Good,Medium,5,No,80000+,84307.43854654841
Sedan,10,200872,100,634,31,11.9,12.68,37,30,Critical,Low,7,No,25000-50000,42196.24401507087
SUV,12,144553,96,646,33,12.3,12.04,43,28,Critical,High,9,No,10000-25000,18176.03258614891
Hatchback,4,52363,96,3243,43,16.5,11.81,34,33,Good,Low,4,No,80000+,91714.79222209578
Truck,6,161599,104,1400,22,10.3,12.03,37,33,Good,Low,9,No,50000-80000,76450.50517476769
Hatchback,3,233584,94,3245,45,17.1,12.45,28,28,Good,Medium,2,No,80000+,89607.17177958756
Sedan,10,106095,98,1917,26,11.4,11.84,40,35,Good,Low,9,No,50000-80000,69427.19685902166
Truck,11,178058,114,3469,30,7.4,11.91,28,33,Good,Medium,2,No,25000-50000,26383.592341813554
Hatchback,2,88700,92,1294,41,19.3,12.64,33,30,Worn,Medium,4,No,50000-80000,77626.37787866886
Sedan,4,222672,101,1218,36,13.3,12.04,41,31,Good,High,4,No,25000-50000,39290.50724897206
SUV,11,29566,95,2487,36,8.3,12.4,41,30,Worn,Medium,5,Yes,50000-80000,74076.03704429073
Hatchback,12,89097,83,3281,37,13.4,12.12,42,34,Critical,Medium,3,No,25000-50000,49662.065157037345
Truck,3,163505,94,1139,30,8.1,11.8,40,28,Good,High,2,No,25000-50000,44782.870244515136
Hatchback,10,196723,92,1663,34,21.6,11.9,43,34,Moderate,Low,5,No,50000-80000,66578.44671081041
SUV,9,201586,107,2241,35,10.6,12.09,30,36,Moderate,Medium,9,Yes,10000-25000,11374.102995460224
Hatchback,7,198892,89,1135,41,20.9,12.29,33,34,Moderate,Medium,12,Yes,25000-50000,42085.325434797924
SUV,10,56988,96,1248,33,10.9,12.36,42,34,Good,Medium,10,No,50000-80000,78547.77350746424
Hatchback,5,75426,88,2840,30,17.6,12.5,42,33,Moderate,Medium,10,No,50000-80000,74341.96754024865
Truck,7,217311,111,2583,26,6.8,11.89,39,33,Moderate,Low,3,No,10000-25000,18969.076453646398
Sedan,2,84800,98,3304,36,15.0,12.56,44,28,Good,Low,7,Yes,50000-80000,61015.184125999855
Truck,9,126219,104,1905,23,8.6,12.12,36,28,Moderate,Low,6,No,25000-50000,27734.69070269905
Truck,4,5975,108,3422,35,5.2,11.83,28,28,Critical,Medium,9,No,3000-10000,6779.954760557839
Truck,12,128815,107,818,26,5.4,12.2,31,32,Good,Low,3,No,25000-50000,33642.10083319262
SUV,11,81202,101,1205,41,13.3,12.7,37,36,Worn,Low,2,No,80000+,92575.82740878593
Truck,11,37319,99,3381,25,4.3,12.38,33,33,Good,High,5,No,10000-25000,11444.45085429959
Hatchback,1,166312,92,2924,41,23.1,12.32,28,28,Good,Medium,11,No,50000-80000,69684.57003522753
Hatchback,6,48270,90,701,41,16.1,11.98,45,28,Moderate,Low,11,Yes,25000-50000,29629.182032707242
Truck,7,83410,112,689,22,3.2,12.53,35,30,Good,Low,8,No,25000-50000,47027.231590161595
SUV,3,114056,108,1620,31,13.2,12.68,42,29,Good,Low,9,No,50000-80000,61612.52765356868
SUV,6,39055,92,2135,32,9.9,12.56,40,28,Critical,High,12,No,3000-10000,7980.256600616584
Hatchback,11,27368,83,1202,43,13.8,11.77,28,32,Good,Low,3,No,80000+,91187.84361913658
Truck,8,33650,106,2342,20,5.2,12.52,29,31,Good,Low,8,No,10000-25000,19793.258063901747
Truck,11,112160,114,2814,29,5.5,11.99,37,32,Good,Low,6,No,25000-50000,40741.74613779585
Truck,5,88851,107,1842,23,8.5,12.78,29,36,Moderate,Low,12,Yes,3000-10000,5360.107114101465
SUV,10,215700,92,1791,29,10.9,12.33,26,30,Worn,High,7,No,25000-50000,43081.41887548438
Truck,4,49276,106,2100,29,6.4,12.47,41,28,Good,Low,11,No,10000-25000,20432.117547210306
Truck,3,225266,98,2022,32,5.6,12.09,35,33,Good,High,6,No,10000-25000,12396.424089676084
Sedan,7,210207,99,2344,40,13.8,12.56,43,29,Good,Low,7,No,80000+,85009.95461026694
Hatchback,12,182767,95,1298,35,18.8,11.8,25,35,Critical,Medium,6,Yes,10000-25000,20971.815931143723
Truck,5,29766,108,878,18,5.0,12.6,41,28,Moderate,Low,6,No,3000-10000,8121.059226609615
Hatchback,7,92025,96,1755,37,20.1,12.34,37,34,Moderate,High,3,No,25000-50000,42772.68274776869
SUV,12,203097,92,657,37,12.0,12.11,40,29,Good,Low,10,No,80000+,97572.23091433846
SUV,7,163204,101,799,42,12.1,12.6,34,36,Good,Low,10,No,80000+,94455.50145385817
Hatchback,4,217653,94,2364,38,15.0,11.92,41,31,Critical,Medium,2,Yes,25000-50000,31894.94631012858
Truck,2,123118,101,1723,23,6.0,12.26,34,35,Moderate,Low,3,No,25000-50000,34238.94629699617
SUV,2,235083,101,1356,33,10.8,12.08,34,34,Critical,Low,6,No,25000-50000,44360.315763154744
Sedan,5,145919,87,606,31,19.0,11.7,30,35,Good,Medium,1,No,80000+,84021.56644606638
SUV,12,245481,98,1422,39,10.2,12.45,34,31,Moderate,High,2,No,50000-80000,68695.63942640855
Sedan,5,31194,93,3391,32,12.9,11.94,45,33,Good,Low,7,No,80000+,92215.18199426765
SUV,4,190010,94,797,40,13.3,12.7,30,31,Good,High,6,No,50000-80000,59749.18293662609
Sedan,10,214033,95,2690,28,14.2,12.07,33,31,Critical,High,4,No,3000-10000,8517.176225399624
Sedan,7,153532,98,2993,41,14.3,12.6,33,35,Good,Medium,8,No,50000-80000,77524.68239093556
Truck,8,177658,117,2133,27,4.9,12.4,30,31,Good,Low,1,No,25000-50000,26489.96303816907
Truck,2,136591,95,3261,16,6.4,11.72,38,33,Good,High,8,Yes,3000-10000,8210.39660753684
SUV,12,51232,98,2340,41,11.1,12.22,32,36,Worn,Medium,11,Yes,25000-50000,44122.44074710994
SUV,11,106890,89,2007,39,10.2,12.32,37,29,Good,Medium,4,Yes,80000+,97905.54942315698
Sedan,7,247308,87,1759,40,12.0,12.14,45,30,Worn,Medium,11,No,25000-50000,46762.95319895282
SUV,10,185135,106,2823,29,11.3,11.91,34,36,Good,Low,11,No,25000-50000,43061.128493161596
SUV,9,169275,93,1776,31,12.2,11.96,30,33,Worn,Medium,6,No,50000-80000,77400.80850868112
Sedan,2,112281,96,3251,30,11.6,11.87,34,32,Good,Low,3,No,50000-80000,52611.29990599588
Hatchback,6,70427,93,3286,30,19.1,11.78,26,30,Worn,High,5,No,25000-50000,46405.73323577382
Hatchback,3,22750,91,2435,37,17.2,12.79,30,34,Good,Low,9,No,80000+,94983.1657511597
SUV,11,86634,100,2131,25,11.3,12.02,42,31,Moderate,High,11,No,10000-25000,22418.73239528147
Sedan,6,113731,96,819,35,17.0,12.44,33,31,Moderate,Low,5,No,50000-80000,78163.70336425025
Truck,6,134925,103,811,21,4.4,12.09,37,32,Critical,Low,2,No,10000-25000,11039.91200864584
Hatchback,5,50774,92,1038,39,13.2,11.96,34,29,Good,High,6,No,50000-80000,78813.795599347
SUV,1,77583,104,3192,27,13.7,12.01,41,31,Worn,High,11,No,10000-25000,22585.116662366207
Sedan,4,181921,93,1187,43,15.6,12.5,43,35,Moderate,Low,4,No,80000+,96069.90515405404
Hatchback,9,24521,99,1266,43,15.4,11.93,42,29,Moderate,High,11,No,10000-25000,17268.541703735325
SUV,11,17379,95,2962,28,9.4,12.68,37,36,Good,Low,10,No,80000+,98718.18122239098
Truck,2,118007,111,2691,24,9.6,12.71,32,36,Good,Low,12,No,10000-25000,13774.96098080719
Sedan,1,158075,91,704,31,14.9,12.43,37,28,Critical,Low,2,No,50000-80000,58681.89831715992
Truck,5,123228,97,2117,21,5.2,12.74,30,36,Worn,Medium,1,No,10000-25000,12394.7912451245
Sedan,11,93905,95,1351,33,12.5,12.26,25,36,Good,High,12,Yes,3000-10000,3884.18298829295
Truck,4,127876,100,3269,28,8.0,12.43,45,35,Worn,Medium,1,Yes,25000-50000,29783.57055757309
Hatchback,2,85084,93,2712,43,18.3,12.45,41,36,Good,High,4,Yes,25000-50000,28438.582512528556
SUV,5,111612,104,631,29,10.7,12.69,36,32,Good,Medium,3,No,50000-80000,63881.97880586114
Hatchback,8,78205,92,666,33,19.2,12.01,28,31,Moderate,High,3,No,25000-50000,45169.35410310233
SUV,11,179755,95,2991,29,12.2,11.78,29,28,Worn,Medium,2,No,50000-80000,69033.39601221503
SUV,12,198693,103,1214,34,13.3,11.85,41,32,Worn,Low,12,No,25000-50000,30278.97449267319
Sedan,7,67873,96,1823,30,13.4,12.54,39,32,Good,Low,3,No,50000-80000,65330.47232124633
Truck,8,34893,104,1513,23,6.0,12.27,27,34,Worn,Medium,10,No,25000-50000,48203.09365043636
Hatchback,4,18720,96,1636,37,13.9,12.79,45,31,Worn,High,5,No,25000-50000,40031.936562445015
Hatchback,10,110791,85,3406,41,16.9,12.66,35,32,Good,Low,6,No,80000+,99483.27838205027
Sedan,10,244364,90,2862,34,13.9,12.73,33,35,Moderate,Low,2,No,80000+,88320.60664120577
SUV,9,135643,103,1833,41,9.2,11.94,42,36,Good,Medium,11,Yes,25000-50000,29917.06741522449
Sedan,5,249408,84,1453,29,17.7,12.38,41,32,Good,High,5,No,25000-50000,32327.953826985424
Hatchback,8,6968,88,3308,40,18.0,12.37,38,36,Worn,Low,8,Yes,50000-80000,50277.65584291545
Hatchback,2,244145,93,1766,39,22.7,12.4,28,31,Good,Low,5,Yes,80000+,90300.87940669764
Truck,6,230015,114,3155,30,7.9,12.23,27,35,Good,Low,1,No,25000-50000,27735.782945721214
Hatchback,3,197370,82,1676,42,20.2,11.93,39,33,Good,Low,6,Yes,80000+,93776.88200131396
Sedan,1,209464,85,3390,39,15.3,12.08,28,31,Good,Medium,6,No,80000+,84341.09975726221
Hatchback,8,232191,94,2435,30,21.6,11.84,36,28,Critical,Low,10,No,25000-50000,46162.41049062405
SUV,7,78927,91,3267,25,11.0,12.55,43,33,Moderate,Low,5,Yes,50000-80000,68007.68438773532
SUV,9,24361,107,1445,35,9.6,12.76,30,36,Good,High,6,No,10000-25000,12773.137581485107
SUV,12,130720,101,2210,30,14.2,12.74,26,35,Good,High,2,No,50000-80000,75541.41809096008
Truck,8,158177,107,2754,23,6.5,12.05,43,33,Good,Low,11,No,10000-25000,21818.144259505192
Hatchback,5,37150,88,1906,48,20.4,12.14,27,33,Moderate,Low,7,Yes,50000-80000,63120.099616533655
Hatchback,10,59829,99,2328,40,18.2,12.08,30,35,Critical,Low,7,No,25000-50000,45690.71669536513
Sedan,12,51433,90,726,37,16.1,12.12,27,29,Worn,Low,8,Yes,50000-80000,58758.56385275389
Truck,10,68103,95,2964,24,6.6,12.54,36,35,Moderate,High,8,No,10000-25000,13688.72755138358
Hatchback,8,29748,85,3366,35,15.4,12.25,35,36,Good,Low,1,No,80000+,90705.09431697859
SUV,5,168334,104,2878,30,12.9,11.87,32,31,Good,High,9,Yes,25000-50000,49363.551491908656
Truck,2,181431,99,2234,16,10.9,11.73,29,28,Good,High,4,No,3000-10000,4895.978389433768
Truck,9,84401,114,704,36,9.1,11.79,29,33,Critical,High,3,Yes,0-3000,2737.740199764947
SUV,1,152109,102,1182,30,10.7,12.06,25,35,Moderate,Low,12,Yes,25000-50000,37507.21897895979
Hatchback,2,17793,94,1581,38,17.8,11.95,36,34,Critical,Low,9,No,50000-80000,52710.62150492854
Truck,2,41736,98,2077,35,8.1,11.73,41,32,Good,Medium,11,No,10000-25000,18355.300840771495
Truck,4,9207,106,1645,23,8.1,12.23,41,35,Good,High,11,Yes,0-3000,1673.3280712478745
Sedan,8,59953,95,3131,31,11.6,12.03,36,30,Worn,Low,7,No,50000-80000,69970.29789185846
Hatchback,3,149476,92,2958,38,15.7,11.85,43,30,Worn,Medium,11,No,25000-50000,47823.9259636333
Hatchback,7,92263,94,2862,33,18.1,12.76,30,29,Worn,Low,2,No,80000+,96543.85298146593
SUV,2,217815,90,2230,26,8.9,11.99,39,33,Moderate,High,4,No,25000-50000,28700.825833599563
Truck,7,225520,105,1515,28,5.3,12.74,38,31,Good,Medium,9,No,25000-50000,38579.87096311696
Sedan,5,7068,90,2414,35,15.6,12.32,36,30,Good,Low,4,Yes,50000-80000,66716.81427223499
Truck,12,150585,100,3413,25,9.7,12.48,35,31,Good,High,4,No,10000-25000,20295.0746476856
Sedan,8,125371,97,1120,32,19.0,12.03,28,34,Moderate,Low,1,No,50000-80000,72755.84627587994
Truck,6,183434,110,1501,32,6.3,12.72,39,36,Good,Medium,2,No,25000-50000,27232.048642120975
Truck,11,222402,114,2528,27,7.3,12.72,26,35,Good,Medium,9,No,10000-25000,15656.178443567256
SUV,9,166817,101,1924,43,10.7,12.01,41,34,Worn,Low,11,No,50000-80000,50373.1798942492
Hatchback,11,41635,87,2258,48,18.1,12.6,28,32,Good,High,3,Yes,25000-50000,34143.34123098476
Truck,5,62677,96,660,20,4.3,12.73,40,33,Critical,High,6,No,0-3000,2780.6408567478666
SUV,6,236494,105,794,37,11.5,12.18,34,31,Good,Medium,6,No,80000+,96292.07717429365
Truck,2,164320,107,779,16,5.4,12.18,33,36,Good,Low,2,No,10000-25000,18123.47595592315
Hatchback,5,239122,98,1147,38,16.0,11.88,40,30,Worn,High,3,Yes,10000-25000,14469.344364761027
SUV,9,213772,95,3321,25,10.8,12.37,33,30,Good,Medium,3,Yes,50000-80000,55402.655221619825
Sedan,5,159283,92,956,36,15.9,12.23,45,32,Moderate,Low,6,No,80000+,91962.11180386208
Hatchback,1,170111,91,1451,28,19.1,12.65,30,34,Good,High,9,No,25000-50000,32176.23801826574
SUV,4,131045,104,2608,23,10.7,12.33,42,29,Good,Medium,1,No,80000+,90248.4622243547
Hatchback,9,99012,90,1806,33,15.9,12.43,33,28,Good,Low,7,No,80000+,96916.55874924926
SUV,6,127227,96,2254,28,9.1,11.72,43,36,Good,Medium,3,No,50000-80000,55468.587936903816
Hatchback,12,86385,88,2528,31,16.1,12.72,25,32,Critical,Low,3,No,25000-50000,49955.89988757205
SUV,5,13910,89,3474,34,10.9,12.1,30,31,Moderate,Medium,4,No,50000-80000,59556.65641426896
Hatchback,10,37743,98,2369,37,19.2,12.54,28,30,Good,Medium,3,No,50000-80000,51822.38569051671
SUV,2,237446,104,3042,29,7.5,11.95,38,33,Critical,Low,6,Yes,25000-50000,35038.80453081096
Hatchback,4,125694,89,2897,44,20.8,12.5,44,33,Good,Medium,10,No,80000+,87692.54099977079
SUV,2,110806,88,2603,41,9.8,12.62,29,28,Moderate,Low,3,No,80000+,96369.54349330562
SUV,8,191096,92,2659,33,8.8,11.96,43,28,Moderate,Medium,3,Yes,50000-80000,56845.1768662083
Hatchback,10,248862,94,1947,43,20.6,12.12,31,31,Worn,High,5,Yes,25000-50000,43065.67653091133
SUV,6,74472,103,2805,34,11.9,12.62,40,28,Good,Low,6,No,80000+,94615.37262937233
Sedan,8,125982,85,2892,39,11.1,12.4,45,35,Good,Low,5,No,80000+,97404.18173839067
Hatchback,3,249925,83,1742,38,14.5,12.37,32,29,Moderate,High,5,No,25000-50000,44901.42314064936
Hatchback,11,104436,98,1095,46,14.7,12.56,33,35,Good,Medium,11,No,25000-50000,34672.10603973203
Truck,6,55666,113,2948,17,4.5,12.58,42,32,Worn,Low,8,No,3000-10000,6548.063385674883
Truck,5,220433,111,2486,19,10.4,11.78,36,35,Good,Low,4,Yes,3000-10000,6238.272969038908
SUV,10,80149,92,1635,25,9.6,12.39,28,35,Worn,Low,3,No,80000+,85295.26562841021
Hatchback,4,128618,96,1458,38,14.6,12.68,30,35,Good,Low,11,Yes,25000-50000,26087.443238167758
Truck,1,114077,97,1421,16,3.7,12.54,38,31,Good,Medium,11,Yes,3000-10000,8355.46510855848
SUV,8,182194,91,1324,38,11.8,12.45,34,30,Good,Medium,3,No,80000+,92871.09670168314
Truck,5,235302,105,2656,28,6.3,12.07,27,32,Good,High,12,No,3000-10000,6566.329765397953
SUV,3,95040,96,2500,36,8.1,12.19,44,32,Good,Low,11,No,50000-80000,54131.10602892413
Sedan,8,48903,91,3023,41,17.9,12.3,32,36,Good,Medium,6,No,80000+,92078.72734449462
Hatchback,8,81377,92,1357,34,17.4,11.9,31,32,Moderate,Medium,9,Yes,25000-50000,36374.66615359623
Truck,7,146648,95,1838,23,8.3,11.77,37,36,Moderate,Low,12,Yes,10000-25000,19258.968630898606
Sedan,11,120762,93,1262,39,12.9,11.72,33,32,Moderate,Medium,9,No,50000-80000,78861.22307752784
SUV,1,36553,103,3317,28,12.6,12.05,45,29,Good,Low,6,No,80000+,92831.23136006664
SUV,7,247882,104,1598,40,12.0,12.15,26,34,Good,Low,1,No,80000+,96396.77799852396
Truck,6,202462,94,2558,31,9.0,11.99,38,28,Moderate,Low,3,Yes,25000-50000,29816.462518964418
SUV,1,6196,98,1950,42,10.4,12.48,41,31,Worn,Low,11,No,50000-80000,71347.37683836254
Sedan,11,212581,85,3292,37,13.6,12.63,43,35,Good,Medium,2,No,80000+,97261.27365989084
Sedan,8,207133,103,2253,39,13.5,12.61,40,33,Moderate,Medium,3,Yes,25000-50000,41632.294725501866
Truck,6,223522,95,1226,26,7.6,12.54,28,34,Worn,Medium,10,No,25000-50000,47904.333279195765
Hatchback,2,77859,92,1449,42,16.3,11.99,45,31,Good,Low,5,Yes,80000+,96768.26390039719
SUV,11,121863,100,2825,27,9.1,11.96,37,34,Worn,Low,1,No,80000+,90012.54212323157
SUV,11,186404,101,1905,34,14.4,11.87,45,33,Good,Medium,2,No,80000+,97201.51878981554
SUV,8,50967,100,1107,30,8.6,11.94,30,31,Good,Low,3,No,80000+,89534.65462760326
Sedan,7,71126,85,2110,41,15.6,12.28,41,28,Moderate,Low,6,No,80000+,94858.13081987687
Hatchback,7,71604,94,3044,36,22.3,12.75,38,31,Moderate,Low,7,Yes,50000-80000,55735.01927935984
Sedan,2,180288,94,1642,41,11.4,11.91,40,33,Good,Low,2,No,80000+,87582.6699034633
SUV,3,175679,103,2017,32,7.6,12.53,40,33,Good,Low,7,No,80000+,90066.37704659399
Hatchback,2,122153,88,1280,42,21.2,12.53,28,35,Good,Medium,3,No,80000+,96328.27901218212
SUV,7,245113,99,2524,36,10.2,11.74,31,28,Good,Low,7,No,80000+,88347.08163933127
Hatchback,11,61522,86,3287,46,14.2,12.18,26,28,Good,Medium,12,No,50000-80000,59604.00213895848
SUV,1,71946,103,2708,27,9.6,12.15,36,33,Moderate,High,4,No,25000-50000,49889.59360499818
Hatchback,11,150216,97,1421,43,20.3,12.4,33,29,Worn,Low,11,No,25000-50000,39253.884952353656
SUV,12,79296,98,3001,38,12.3,11.82,34,30,Critical,High,7,No,10000-25000,13190.180059370441
Sedan,6,156016,99,2311,31,15.5,12.61,44,33,Good,Low,6,Yes,50000-80000,70065.03333484293
Hatchback,4,65970,93,2605,31,22.4,12.44,27,32,Moderate,Low,3,No,50000-80000,68842.41225731367
Hatchback,8,194813,88,1073,43,17.5,12.11,31,33,Critical,Medium,4,No,25000-50000,47738.59064996868
Sedan,4,18347,92,2734,33,14.8,11.95,45,34,Good,Medium,1,No,80000+,87796.1835037201
Sedan,2,186568,87,2726,40,14.0,12.33,27,31,Worn,Medium,4,Yes,50000-80000,55837.846376587026
Hatchback,2,91003,99,956,35,17.3,12.75,41,33,Moderate,Low,2,No,50000-80000,51374.75202842528
Truck,12,107027,110,3049,22,7.6,12.05,28,33,Good,Low,2,No,25000-50000,48001.19096120511
Truck,5,86671,99,1940,34,8.2,12.57,38,36,Critical,Low,2,No,25000-50000,27345.367332613037
SUV,10,63262,105,2159,35,9.6,12.78,45,33,Good,Medium,12,No,25000-50000,25908.0791913497
Sedan,2,36616,91,3103,30,17.3,12.0,33,29,Good,High,1,No,50000-80000,61080.21196554024
Truck,7,163108,113,2192,20,7.3,12.53,42,29,Worn,High,6,Yes,0-3000,2924.758703147554
Truck,8,114984,100,2254,36,9.3,12.75,36,30,Good,Low,3,No,50000-80000,51980.525330615885
Sedan,7,14482,101,1490,31,12.3,12.31,37,32,Good,High,7,No,25000-50000,42267.24044440288
Truck,4,157624,94,1613,20,6.1,11.78,45,34,Worn,High,3,No,3000-10000,6308.050993346541
SUV,7,193874,93,914,25,10.7,12.71,26,36,Worn,Medium,6,No,50000-80000,65294.61921796311
Sedan,6,232232,86,2726,38,15.0,12.59,40,32,Moderate,Medium,1,No,80000+,96042.97745706537
Sedan,1,136293,91,2045,34,14.7,12.16,37,36,Good,High,7,No,25000-50000,46923.11126291854
Hatchback,5,191807,86,2589,39,21.0,11.87,25,35,Worn,Low,10,No,80000+,89444.09158628275
Hatchback,11,9443,92,2254,41,15.0,12.11,36,35,Worn,Low,5,No,80000+,87619.63320276451
Hatchback,3,154793,93,2477,37,21.5,12.67,38,31,Good,Low,11,No,50000-80000,57504.826491171094
Sedan,3,94710,98,2696,30,18.6,12.57,39,34,Good,Low,2,No,80000+,91755.37954230266
Hatchback,4,221554,99,992,45,17.5,12.62,31,36,Moderate,High,8,No,25000-50000,30154.057597622865
SUV,2,249916,99,2633,25,14.0,11.99,34,33,Moderate,Medium,5,No,50000-80000,56955.899645405065
Truck,6,48672,102,2555,24,7.7,11.8,31,32,Good,Low,10,No,50000-80000,51598.36905611913
Truck,12,136105,103,1843,30,9.2,12.16,40,36,Good,Low,5,No,50000-80000,59400.18772416047
Sedan,9,50458,89,3442,29,12.1,11.9,42,31,Good,Low,9,No,80000+,87560.96013028898
Truck,12,178747,105,3473,23,4.6,12.54,38,32,Good,Low,8,No,50000-80000,52476.51517888687
Truck,3,91083,110,1431,23,6.0,11.92,44,28,Critical,Low,4,No,3000-10000,7227.5257985367425
Truck,2,85101,113,2310,22,8.2,12.53,30,29,Good,Low,9,No,25000-50000,26449.09001946826
SUV,6,201681,105,3371,42,10.0,12.54,26,35,Moderate,Medium,7,No,50000-80000,77891.32698475823
Sedan,10,167239,90,3495,43,13.7,12.56,40,29,Moderate,High,5,No,25000-50000,43344.227689979336
Hatchback,7,41252,93,3136,43,16.1,11.76,29,31,Moderate,High,6,No,25000-50000,39083.68055527127
Sedan,11,94754,98,2263,35,16.5,12.29,34,33,Good,Medium,3,No,50000-80000,64965.244133199274
Hatchback,10,63803,98,2923,32,19.1,12.76,45,33,Good,Medium,4,No,50000-80000,54862.70974355006
Truck,3,11668,103,2274,23,6.5,12.57,42,31,Good,Low,11,Yes,10000-25000,11661.866764011414
Truck,8,204503,114,2970,25,4.9,12.09,41,33,Good,High,8,No,3000-10000,8996.88363606052
SUV,9,51671,104,994,27,14.2,12.04,34,32,Moderate,Low,1,No,80000+,89171.24906099983
Truck,11,99024,108,1560,37,10.1,12.02,38,36,Good,Low,9,No,25000-50000,49898.312291014285
SUV,12,159629,91,1514,38,9.6,11.9,38,35,Good,Medium,1,No,80000+,87214.74475377973
Sedan,3,62896,86,2523,40,12.7,12.24,28,28,Good,High,2,No,50000-80000,52616.53284803307
Truck,7,58814,113,1747,33,5.4,11.83,40,33,Critical,High,3,No,0-3000,436.141278488023
Sedan,4,21681,95,726,43,11.0,12.62,40,34,Worn,Medium,4,No,50000-80000,60049.200389164616
