Vehicle_ID,Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect
V688,SUV,14,31577,101,2749,39,11.0,12.65,35,61,Critical,Medium,12,Yes,"25,001–50,000"
V689,SUV,6,113695,97,1586,48,14.3,12.31,36,92,Critical,Medium,9,Yes,"50,001–80,000"
V690,SUV,3,103867,99,1808,24,6.3,11.55,35,103,Moderate,Medium,8,Yes,"80,001+"
V691,Hatchback,1,141369,94,2484,27,14.9,12.39,39,106,Moderate,Low,5,No,"80,001+"
V692,Truck,3,86818,101,2179,21,19.6,12.2,35,34,Critical,Medium,3,Yes,"25,001–50,000"
V693,Sedan,8,110046,93,1652,33,15.7,11.67,43,107,Critical,Low,1,Yes,"80,001+"
V694,Hatchback,10,183545,106,2817,43,12.0,11.84,43,73,Worn,High,9,No,"25,001–50,000"
V695,Truck,13,8147,108,1860,27,17.1,11.71,34,99,Moderate,Low,7,Yes,"25,001–50,000"
V696,Sedan,4,98675,101,2583,48,14.4,11.45,45,54,Critical,High,10,Yes,"10,001–25,000"
V697,Sedan,12,55461,91,2079,40,14.7,12.72,37,78,Worn,High,11,Yes,"50,001–80,000"
V698,Sedan,11,71969,107,2689,37,17.0,12.13,32,50,Critical,High,3,No,"10,001–25,000"
V699,Sedan,13,7607,99,2214,27,7.3,12.82,35,53,Moderate,High,5,Yes,"25,001–50,000"
V700,Hatchback,9,159499,104,2139,26,10.8,11.58,40,41,Worn,Medium,5,No,"50,001–80,000"
V701,Sedan,2,24881,100,2913,44,17.0,12.98,45,99,Moderate,Low,3,Yes,"80,001+"
V702,Sedan,11,26337,92,1623,27,12.4,12.29,36,106,Worn,Low,12,Yes,"50,001–80,000"
V703,Truck,13,180964,106,2489,40,12.6,11.78,43,92,Worn,High,11,No,"25,001–50,000"
V704,Sedan,12,99860,110,1577,34,12.1,12.53,40,81,Moderate,Low,3,Yes,"50,001–80,000"
V705,Sedan,9,66112,109,1850,35,9.2,11.28,39,32,Critical,Medium,7,Yes,"50,001–80,000"
V706,Sedan,14,129325,102,1949,47,11.8,11.05,42,43,Good,Low,3,No,"50,001–80,000"
V707,Sedan,4,177376,91,1675,48,14.8,12.43,41,96,Moderate,High,11,Yes,"50,001–80,000"
V708,SUV,13,68593,103,2053,41,12.8,11.91,43,103,Moderate,High,9,No,"25,001–50,000"
V709,Truck,13,45469,101,2573,26,19.0,12.61,43,51,Good,Medium,3,No,"25,001–50,000"
V710,Sedan,9,190652,107,2655,34,10.1,12.63,32,109,Worn,High,5,Yes,"50,001–80,000"
V711,Hatchback,3,42774,95,2466,47,10.5,12.47,37,74,Moderate,Medium,4,Yes,"80,001+"
V712,Sedan,10,88505,90,1897,41,6.6,11.39,45,106,Worn,Low,1,No,"80,001+"
V713,Hatchback,7,67294,85,2904,39,13.5,12.86,45,49,Worn,Low,4,Yes,"80,001+"
V714,Truck,2,93542,104,1838,45,17.0,12.36,34,64,Critical,Low,6,No,"50,001–80,000"
V715,Truck,1,58672,110,2812,49,6.7,11.96,40,85,Good,Medium,9,No,"50,001–80,000"
V716,Hatchback,5,80564,86,1832,34,15.2,12.31,37,44,Critical,Medium,1,No,"80,001+"
V717,Sedan,4,137609,95,2688,43,15.0,11.98,40,69,Moderate,Low,7,Yes,"80,001+"
V718,Truck,12,40830,93,2735,49,16.5,11.36,38,46,Good,Medium,11,Yes,"80,001+"
V719,Hatchback,1,175872,101,1679,20,18.7,12.52,42,71,Critical,Medium,6,No,"25,001–50,000"
V720,Sedan,4,35117,104,1630,46,18.0,12.41,32,108,Moderate,Low,6,Yes,"80,001+"
V721,Truck,2,39761,87,2947,44,12.6,12.07,36,73,Moderate,Medium,2,Yes,"80,001+"
V722,Truck,4,169715,100,2467,32,15.5,12.75,36,107,Good,High,8,No,"80,001+"
V723,SUV,3,119655,97,2842,24,8.1,11.87,44,51,Critical,Low,1,No,"50,001–80,000"
V724,Truck,15,161522,102,2618,37,19.0,11.27,34,43,Good,Medium,4,No,"50,001–80,000"
V725,Truck,4,155008,88,2624,31,17.2,11.23,44,76,Critical,Medium,9,No,"50,001–80,000"
V726,Truck,9,46650,106,2141,21,19.8,11.43,33,100,Moderate,Medium,7,Yes,"50,001–80,000"
V727,Hatchback,15,156008,96,2754,22,10.2,12.53,40,60,Moderate,High,12,No,"25,001–50,000"
V728,Sedan,12,47517,87,2555,23,13.6,12.27,38,62,Critical,Low,2,No,"25,001–50,000"
V729,Truck,2,180977,95,1605,39,15.5,11.46,37,85,Moderate,High,11,Yes,"50,001–80,000"
V730,Hatchback,4,119328,97,2432,44,15.2,12.77,38,89,Moderate,High,3,No,"80,001+"
V731,Hatchback,2,71104,87,1828,27,18.3,11.24,33,91,Moderate,Low,11,Yes,"50,001–80,000"
V732,SUV,8,13384,110,2422,27,14.9,12.02,38,30,Moderate,Medium,7,No,"50,001–80,000"
V733,Hatchback,10,85752,110,2416,29,9.1,11.46,32,45,Moderate,Low,7,Yes,"50,001–80,000"
V734,SUV,10,78373,93,2706,20,14.7,12.99,39,52,Worn,Medium,6,Yes,"80,001+"
V735,Truck,3,169626,98,2302,32,11.3,12.98,42,50,Critical,High,10,Yes,"25,001–50,000"
V736,Hatchback,10,104894,94,1535,37,17.0,12.3,32,36,Critical,High,9,No,"25,001–50,000"
V737,Truck,6,172634,88,2600,49,8.6,11.9,44,73,Worn,Low,6,Yes,"80,001+"
V738,Sedan,11,24429,101,1603,25,10.7,12.15,45,93,Critical,Low,4,No,"10,001–25,000"
V739,SUV,14,106000,89,2359,26,9.2,12.75,42,101,Critical,Medium,9,Yes,"25,001–50,000"
V740,Truck,3,21451,96,2449,30,19.8,11.95,44,62,Worn,High,1,No,"80,001+"
V741,Truck,15,8977,104,2086,24,15.3,11.89,30,93,Worn,Medium,11,Yes,"25,001–50,000"
V742,Hatchback,9,49647,89,2498,49,12.0,12.48,42,92,Worn,Medium,12,No,"80,001+"
V743,Sedan,7,141930,94,1656,24,17.6,12.47,40,66,Moderate,Medium,6,No,"80,001+"
V744,Sedan,4,54983,92,1734,28,6.3,12.06,30,109,Moderate,Medium,7,No,"80,001+"
V745,Sedan,7,99125,107,1695,38,15.0,12.11,41,33,Worn,Low,10,Yes,"50,001–80,000"
V746,Sedan,4,194892,97,2218,30,10.1,11.96,32,83,Moderate,High,10,No,"50,001–80,000"
V747,Sedan,15,94808,88,1908,42,15.2,12.62,43,53,Good,High,7,Yes,"50,001–80,000"
V748,SUV,12,120336,109,1936,47,8.2,11.38,41,48,Good,High,7,No,"25,001–50,000"
V749,Truck,11,35356,103,2863,50,14.1,11.64,43,64,Worn,Low,8,No,"50,001–80,000"
V750,SUV,12,170411,110,2618,29,13.1,12.93,44,85,Good,Low,4,Yes,"25,001–50,000"
V751,Sedan,13,188405,108,1880,49,16.8,12.98,45,37,Critical,High,7,Yes,"10,001–25,000"
V752,Sedan,2,153235,96,1758,33,18.3,11.74,36,35,Worn,Low,5,Yes,"80,001+"
V753,Hatchback,1,156030,88,2780,35,7.5,12.98,42,100,Moderate,High,10,Yes,"50,001–80,000"
V754,Hatchback,6,71654,96,2841,23,6.4,11.69,44,37,Good,Medium,9,Yes,"50,001–80,000"
V755,Truck,1,154956,108,2452,38,16.2,12.58,30,77,Critical,Medium,8,No,"50,001–80,000"
V756,Truck,9,34343,95,2926,49,16.3,11.04,42,67,Worn,High,5,No,"80,001+"
V757,SUV,11,186382,101,1966,49,7.0,11.52,41,80,Good,Medium,6,No,"50,001–80,000"
V758,Truck,13,163936,109,2350,44,10.1,11.62,42,99,Worn,Low,2,No,"50,001–80,000"
V759,Truck,14,179728,90,1910,44,11.2,11.69,32,69,Moderate,Medium,8,Yes,"80,001+"
V760,SUV,12,96571,85,2003,31,11.9,11.07,30,109,Moderate,Low,4,Yes,"80,001+"
V761,Truck,14,159927,100,2008,31,7.2,12.36,39,54,Critical,Low,5,No,"50,001–80,000"
V762,Hatchback,13,7621,101,1928,23,5.3,11.17,45,76,Moderate,Low,9,No,"25,001–50,000"
V763,Truck,4,99297,103,1632,31,18.6,11.63,43,99,Good,Low,5,Yes,"80,001+"
V764,Hatchback,13,24645,97,2181,44,17.5,11.28,44,89,Moderate,High,2,Yes,"50,001–80,000"
V765,SUV,11,124385,93,2560,43,8.5,11.41,41,53,Critical,Low,3,Yes,"50,001–80,000"
V766,Hatchback,2,94997,109,2075,28,5.7,11.53,42,60,Good,Medium,4,No,"50,001–80,000"
V767,Hatchback,5,122370,90,2418,41,5.2,11.73,39,97,Good,Medium,9,Yes,"80,001+"
V768,Truck,14,171468,109,1874,28,16.5,11.73,35,55,Good,Low,11,Yes,"25,001–50,000"
V769,Truck,5,45743,97,1732,45,11.4,12.15,34,59,Critical,Low,4,Yes,"80,001+"
V770,Truck,1,150180,99,2605,24,11.3,12.82,42,67,Worn,Medium,4,No,"80,001+"
V771,SUV,6,123400,94,2564,46,17.9,11.69,35,97,Good,Low,6,Yes,"80,001+"
V772,SUV,3,24586,95,1897,28,16.7,12.47,34,46,Moderate,High,5,No,"50,001–80,000"
V773,Sedan,9,187788,108,1801,21,11.2,11.32,37,77,Good,Low,1,Yes,"50,001–80,000"
V774,Sedan,2,86846,106,2713,38,6.6,11.81,41,30,Critical,Medium,3,Yes,"50,001–80,000"
V775,SUV,4,50106,92,1665,21,12.2,11.69,42,71,Good,Medium,7,No,"80,001+"
V776,Hatchback,1,180490,101,1644,29,9.6,12.03,39,37,Moderate,Medium,9,Yes,"25,001–50,000"
V777,Hatchback,8,192726,97,1521,48,10.4,12.15,36,42,Worn,Low,7,Yes,"80,001+"
V778,Sedan,13,154128,105,1633,23,12.8,11.89,34,62,Critical,High,6,Yes,"0–10,000"
V779,SUV,12,99404,104,2274,47,8.0,12.71,37,49,Worn,Medium,11,No,"50,001–80,000"
V780,Hatchback,15,18784,91,2525,36,8.4,12.0,44,110,Critical,High,9,No,"25,001–50,000"
V781,Hatchback,5,177879,90,2862,36,10.3,12.87,38,69,Good,High,3,No,"80,001+"
V782,Truck,9,112686,101,2418,26,12.9,11.58,32,45,Moderate,Low,7,Yes,"50,001–80,000"
V783,Hatchback,10,199925,89,1669,38,8.2,11.11,40,40,Moderate,High,11,No,"50,001–80,000"
V784,Sedan,1,112591,105,2888,44,13.2,11.33,32,94,Good,Low,1,No,"80,001+"
V785,Hatchback,10,22693,91,2998,48,13.1,12.46,44,47,Moderate,High,7,Yes,"80,001+"
V786,Hatchback,5,86047,102,2630,20,15.1,11.16,38,79,Good,Medium,4,No,"50,001–80,000"
V787,Truck,3,182121,95,2339,46,6.2,11.83,41,31,Critical,Low,2,No,"80,001+"
V788,Hatchback,8,106678,89,2101,50,13.1,11.66,40,68,Good,Low,3,No,"80,001+"
V789,Truck,15,153732,98,2447,22,8.4,12.31,35,85,Good,Medium,8,No,"50,001–80,000"
V790,Hatchback,12,87308,104,1579,22,16.5,12.31,32,99,Moderate,Low,7,Yes,"25,001–50,000"
V791,Sedan,7,58967,94,2806,29,14.9,12.63,30,59,Worn,Low,4,Yes,"80,001+"
V792,Truck,14,70983,102,1994,27,10.5,11.34,33,97,Critical,High,12,No,"0–10,000"
V793,Truck,13,14142,105,2417,46,15.6,11.66,39,103,Moderate,Low,8,No,"50,001–80,000"
V794,SUV,14,174699,99,2462,31,6.1,11.01,32,44,Worn,Low,5,Yes,"80,001+"
V795,Truck,3,46245,98,1687,28,10.6,11.94,34,98,Good,High,11,Yes,"25,001–50,000"
V796,Hatchback,9,145951,96,2111,31,6.6,11.08,31,95,Worn,Medium,2,Yes,"80,001+"
V797,SUV,10,161241,96,2900,30,15.1,12.83,43,31,Worn,High,6,No,"80,001+"
V798,Hatchback,9,76265,104,2811,48,17.8,12.64,40,89,Moderate,Medium,6,No,"80,001+"
V799,Sedan,2,68372,108,2005,24,5.1,12.64,43,53,Worn,Low,9,No,"25,001–50,000"
V800,SUV,15,107267,107,2020,24,18.6,12.73,37,85,Critical,Medium,5,Yes,"10,001–25,000"
V801,Truck,15,117647,98,2111,23,16.8,12.35,33,49,Good,High,2,No,"25,001–50,000"
V802,Hatchback,1,134257,97,2023,47,13.9,11.39,39,79,Worn,Medium,8,No,"80,001+"
V803,Sedan,2,155310,93,2305,40,9.4,12.0,40,110,Moderate,High,3,No,"80,001+"
V804,Truck,8,11527,99,2971,32,10.8,12.09,38,60,Good,Medium,12,No,"80,001+"
V805,Truck,5,153659,108,2288,26,5.5,11.46,44,71,Good,High,12,No,"10,001–25,000"
V806,Hatchback,11,33698,88,2645,25,13.2,11.09,38,50,Worn,Medium,12,Yes,"50,001–80,000"
V807,Sedan,13,166203,107,2894,33,5.8,11.95,31,47,Critical,High,10,No,"10,001–25,000"
V808,Hatchback,7,75008,90,2980,21,5.2,11.93,33,52,Good,Medium,7,Yes,"80,001+"
V809,Hatchback,2,68510,109,1595,27,15.5,11.04,43,101,Good,High,8,Yes,"25,001–50,000"
V810,Hatchback,13,80368,91,2654,50,9.8,11.89,38,78,Critical,Medium,1,Yes,"50,001–80,000"
V811,Hatchback,5,142106,101,2046,33,17.0,11.76,34,101,Moderate,Medium,12,Yes,"50,001–80,000"
V812,Hatchback,2,123789,109,2214,23,17.4,11.53,44,46,Good,Low,11,Yes,"25,001–50,000"
V813,Sedan,5,89690,105,2122,42,18.2,11.95,42,71,Good,Medium,3,No,"80,001+"
V814,Truck,6,192750,102,2329,47,8.1,12.0,37,80,Worn,Low,1,Yes,"80,001+"
V815,Hatchback,7,82848,105,2625,39,10.6,11.19,38,65,Good,Medium,7,No,"80,001+"
V816,Sedan,3,181428,86,1727,20,16.6,12.76,34,62,Worn,Low,11,No,"50,001–80,000"
V817,SUV,1,161283,88,1869,24,14.5,11.08,44,68,Critical,Low,9,No,"25,001–50,000"
V818,Truck,15,77727,88,2814,26,7.9,12.92,44,88,Worn,High,3,Yes,"25,001–50,000"
V819,Truck,2,39524,108,1585,23,9.4,12.22,44,45,Moderate,Low,1,Yes,"50,001–80,000"
V820,Hatchback,3,34040,99,2146,38,14.5,11.46,36,84,Worn,High,4,No,"80,001+"
V821,Truck,9,42084,97,2306,22,15.3,12.58,37,103,Good,High,12,Yes,"25,001–50,000"
V822,SUV,11,28175,88,2227,38,17.5,12.28,38,97,Critical,Low,2,Yes,"50,001–80,000"
V823,Sedan,8,190913,110,1720,29,18.1,11.75,41,106,Worn,Low,1,No,"50,001–80,000"
V824,SUV,5,69616,109,2367,44,9.3,11.81,38,92,Good,Low,7,Yes,"80,001+"
V825,Sedan,1,28069,105,2675,41,14.0,11.38,44,62,Worn,Medium,1,Yes,"80,001+"
V826,SUV,9,52322,106,1672,29,16.8,11.72,35,39,Good,Medium,6,Yes,"50,001–80,000"
V827,Sedan,15,84433,109,2634,27,19.7,12.78,40,98,Worn,Medium,4,No,"25,001–50,000"
V828,SUV,3,141489,85,2128,26,13.0,11.59,45,53,Good,Low,10,Yes,"50,001–80,000"
V829,Sedan,1,171808,91,1897,23,6.9,12.2,39,46,Good,High,9,No,"25,001–50,000"
V830,Hatchback,7,27498,96,1722,23,13.8,12.93,32,35,Worn,Medium,6,No,"80,001+"
V831,SUV,2,195443,89,2935,37,15.4,12.23,35,84,Moderate,Low,2,Yes,"80,001+"
V832,Sedan,15,100433,92,1985,31,10.7,11.14,39,102,Worn,Low,11,Yes,"80,001+"
V833,Hatchback,3,94600,88,1796,42,12.8,12.53,34,93,Moderate,High,11,Yes,"50,001–80,000"
V834,SUV,13,95750,88,2408,38,7.4,12.83,43,52,Worn,Low,9,No,"80,001+"
V835,SUV,11,181423,92,1964,25,5.6,11.39,30,75,Moderate,Medium,12,No,"50,001–80,000"
V836,Hatchback,7,82389,96,2765,40,9.2,12.27,44,58,Critical,Low,9,Yes,"50,001–80,000"
V837,Truck,10,54142,101,1982,21,17.2,11.31,43,42,Good,Low,4,No,"50,001–80,000"
V838,Hatchback,10,126094,104,1507,43,15.5,12.74,35,48,Critical,Medium,1,No,"50,001–80,000"
V839,Hatchback,10,177392,88,2100,36,7.4,11.52,34,64,Moderate,High,11,No,"50,001–80,000"
V840,SUV,3,101515,109,1625,40,9.9,12.18,42,96,Critical,Medium,3,Yes,"50,001–80,000"
V841,Sedan,15,177675,108,2480,26,16.7,11.64,37,46,Moderate,High,2,Yes,"10,001–25,000"
V842,Sedan,5,198160,90,1992,40,13.6,12.34,41,75,Worn,Medium,10,Yes,"80,001+"
V843,Truck,8,6489,89,2287,27,17.5,12.41,40,108,Good,Low,12,No,"50,001–80,000"
V844,Sedan,13,169225,104,2978,23,18.1,12.91,40,43,Worn,Low,10,No,"25,001–50,000"
V845,Truck,12,160072,86,2948,49,10.8,11.15,33,98,Worn,Low,1,No,"80,001+"
V846,Sedan,8,97203,106,2181,35,12.0,12.73,44,100,Good,High,1,Yes,"50,001–80,000"
V847,Sedan,13,95462,87,1891,48,10.0,11.56,44,101,Critical,High,11,No,"25,001–50,000"
V848,Hatchback,6,84170,89,2626,32,14.2,11.8,34,86,Good,Medium,1,Yes,"80,001+"
V849,Hatchback,2,97099,99,2987,42,18.1,11.09,35,109,Worn,High,6,Yes,"80,001+"
V850,Sedan,4,59873,107,2655,41,15.5,12.34,32,89,Worn,Medium,1,No,"80,001+"
V851,SUV,1,14894,85,2676,40,12.4,11.59,40,46,Worn,Medium,1,No,"80,001+"
V852,Truck,3,114797,100,2842,40,5.6,11.55,32,98,Worn,Low,8,Yes,"80,001+"
V853,SUV,1,150711,89,2546,49,14.6,11.42,36,36,Worn,Medium,5,No,"80,001+"
V854,Sedan,12,189752,102,2085,40,10.5,11.6,35,93,Critical,Low,5,No,"25,001–50,000"
V855,SUV,6,184000,99,2983,42,6.3,12.64,40,34,Moderate,Medium,3,Yes,"80,001+"
V856,Hatchback,11,188567,97,2750,25,6.6,11.7,38,51,Moderate,Low,6,No,"50,001–80,000"
V857,Truck,15,106927,105,1902,23,12.3,12.46,31,95,Moderate,High,4,Yes,"10,001–25,000"
V858,Hatchback,8,129107,108,1989,22,6.7,12.52,38,90,Good,Low,11,Yes,"25,001–50,000"
V859,Hatchback,15,39735,96,2683,23,17.3,11.37,38,54,Worn,High,5,No,"25,001–50,000"
V860,Truck,9,193159,101,2371,29,19.7,12.97,31,41,Good,High,4,Yes,"25,001–50,000"
V861,Hatchback,14,62322,108,1961,43,13.5,12.99,45,85,Worn,Low,10,Yes,"50,001–80,000"
V862,SUV,7,194824,105,2856,46,7.2,11.78,32,44,Critical,Medium,11,Yes,"25,001–50,000"
V863,Sedan,13,43281,99,2059,27,18.8,12.43,41,52,Good,Low,3,No,"50,001–80,000"
V864,SUV,3,157837,107,2993,42,13.2,11.05,38,89,Good,Low,8,Yes,"80,001+"
V865,Truck,4,63822,86,1880,50,13.4,11.57,36,51,Good,Medium,3,No,"80,001+"
V866,Hatchback,3,150334,110,1612,33,15.1,11.28,40,84,Good,Low,10,Yes,"50,001–80,000"
V867,Hatchback,10,84086,110,1519,42,10.1,11.73,45,86,Worn,Medium,4,No,"80,001+"
V868,Sedan,8,28029,92,2395,24,12.8,12.08,44,30,Critical,Low,2,Yes,"50,001–80,000"
V869,SUV,8,97302,94,2418,46,12.3,11.11,40,60,Good,Medium,6,Yes,"80,001+"
V870,SUV,8,198934,98,2324,37,18.0,12.1,34,83,Worn,Low,6,Yes,"80,001+"
V871,Sedan,10,42161,102,2974,37,18.2,11.64,38,63,Moderate,Low,5,Yes,"80,001+"
V872,SUV,1,74040,90,2750,30,9.1,11.07,39,99,Critical,Medium,3,No,"80,001+"
V873,Sedan,5,144782,96,2215,34,16.8,12.59,45,91,Good,High,3,Yes,"80,001+"
V874,SUV,11,56617,90,2359,20,12.9,11.16,30,78,Worn,High,7,Yes,"25,001–50,000"
V875,Sedan,14,99697,92,2725,32,6.5,11.53,43,86,Worn,Low,5,Yes,"80,001+"
V876,Hatchback,14,13490,107,1572,27,14.1,12.14,37,53,Moderate,Medium,11,No,"25,001–50,000"
V877,Truck,14,132656,104,2710,35,9.8,12.67,43,47,Critical,High,10,No,"10,001–25,000"
V878,Hatchback,5,187536,96,1759,46,9.4,12.37,44,43,Good,Medium,12,Yes,"80,001+"
V879,Hatchback,10,31950,92,2915,39,18.9,11.63,44,110,Worn,Medium,12,Yes,"80,001+"
V880,SUV,2,52001,98,2850,39,9.5,12.81,41,93,Good,Low,3,No,"80,001+"
V881,Hatchback,10,71893,94,2181,29,6.1,11.48,36,38,Good,Medium,3,No,"80,001+"
V882,Hatchback,3,193886,87,1849,24,17.8,12.94,35,35,Moderate,Medium,11,No,"50,001–80,000"
V883,SUV,4,71116,91,1954,27,6.7,11.83,43,68,Good,Low,9,Yes,"50,001–80,000"
V884,Hatchback,14,133986,109,2919,25,17.6,11.29,43,110,Good,High,8,Yes,"10,001–25,000"
V885,SUV,10,173997,108,2990,27,7.0,11.29,39,94,Worn,High,9,No,"10,001–25,000"
V886,Sedan,4,174647,103,2362,44,16.0,12.73,37,75,Worn,High,5,Yes,"50,001–80,000"
V887,Truck,14,176965,86,2846,44,13.6,12.04,45,32,Critical,Medium,4,Yes,"50,001–80,000"
V888,Hatchback,3,23951,89,2737,30,6.1,11.98,42,85,Good,High,12,No,"50,001–80,000"
V889,SUV,12,32601,103,1602,42,8.5,11.94,38,59,Good,High,5,No,"25,001–50,000"
V890,Hatchback,12,129611,104,2378,20,15.7,12.34,32,109,Good,High,7,No,"10,001–25,000"
V891,SUV,5,98455,102,2466,44,5.9,11.56,45,85,Worn,High,8,No,"50,001–80,000"
V892,SUV,15,162795,89,2364,31,12.0,11.15,43,34,Critical,Medium,5,Yes,"50,001–80,000"
V893,Sedan,10,138206,92,1956,43,11.1,12.1,32,39,Good,Medium,10,No,"80,001+"
V894,Truck,11,124447,90,2308,20,10.7,12.17,40,106,Moderate,Low,2,Yes,"50,001–80,000"
V895,Truck,15,118102,91,2822,37,5.9,11.91,44,79,Good,High,7,Yes,"50,001–80,000"
V896,Truck,3,83784,86,2497,41,8.1,12.99,41,65,Good,High,1,No,"80,001+"
V897,SUV,8,23735,108,1943,40,6.5,11.01,35,86,Worn,High,2,Yes,"50,001–80,000"
V898,SUV,9,192986,109,2098,22,18.0,11.75,30,54,Worn,Medium,9,No,"25,001–50,000"
V899,Truck,2,189207,94,2575,35,13.4,11.12,43,46,Critical,Medium,3,No,"80,001+"
V900,SUV,2,197373,90,2327,40,5.4,11.83,32,65,Critical,Low,6,No,"80,001+"
V901,Truck,2,67606,108,2274,24,15.1,11.98,42,73,Worn,Low,2,No,"50,001–80,000"
V902,Sedan,4,30326,85,2935,48,20.0,12.27,44,72,Good,Low,8,No,"80,001+"
V903,SUV,5,193289,94,1501,29,8.6,12.44,41,44,Moderate,Low,11,Yes,"50,001–80,000"
V904,SUV,10,139242,107,1628,48,13.1,11.14,42,82,Critical,Low,11,Yes,"25,001–50,000"
V905,Sedan,1,188345,96,1586,28,8.7,12.95,38,59,Worn,Low,9,No,"50,001–80,000"
V906,Hatchback,4,146549,108,2309,35,16.1,11.79,43,63,Moderate,Low,5,Yes,"80,001+"
V907,Hatchback,5,156126,85,2999,28,11.3,11.39,39,101,Worn,Low,11,Yes,"50,001–80,000"
V908,SUV,8,199872,106,2243,45,8.5,12.71,31,46,Critical,High,2,No,"25,001–50,000"
V909,Sedan,12,184912,94,2301,50,9.9,12.25,41,89,Moderate,Medium,5,No,"80,001+"
V910,SUV,2,143114,89,1739,25,5.7,11.33,42,107,Worn,Medium,2,Yes,"80,001+"
V911,Hatchback,10,102095,93,1751,43,8.2,12.93,45,74,Good,Medium,6,No,"80,001+"
V912,Truck,7,128816,86,2372,24,14.6,11.34,34,84,Critical,High,7,No,"25,001–50,000"
V913,Truck,13,76834,100,2867,37,8.5,12.6,34,51,Critical,Low,2,Yes,"50,001–80,000"
V914,Sedan,10,56056,103,1569,49,14.0,12.29,38,43,Good,High,3,No,"50,001–80,000"
V915,Truck,6,50963,91,2871,25,12.7,11.12,42,46,Good,High,4,Yes,"50,001–80,000"
V916,Sedan,6,15139,101,2674,29,14.7,12.71,31,31,Worn,Medium,4,Yes,"50,001–80,000"
V917,SUV,10,196345,87,2998,38,16.5,11.14,40,42,Critical,Low,8,No,"80,001+"
V918,Hatchback,6,180930,93,2901,24,12.2,12.44,43,103,Moderate,Medium,2,No,"80,001+"
V919,Truck,12,143932,110,2810,21,11.0,11.55,42,55,Critical,Low,7,No,"10,001–25,000"
V920,Hatchback,2,141380,96,2857,29,14.4,12.07,40,104,Good,High,10,Yes,"25,001–50,000"
V921,Sedan,8,118277,106,2352,26,8.1,11.93,37,50,Critical,Medium,11,No,"10,001–25,000"
V922,Sedan,13,163367,91,2341,35,10.2,12.93,43,34,Worn,Medium,4,No,"80,001+"
V923,SUV,4,148803,100,1735,27,6.2,11.81,32,63,Good,High,10,No,"25,001–50,000"
V924,Sedan,13,96503,110,2487,36,14.4,11.86,31,64,Worn,Medium,8,No,"50,001–80,000"
V925,Hatchback,10,159266,110,1897,31,10.5,12.91,31,95,Good,Low,7,No,"80,001+"
V926,SUV,10,20948,100,2115,24,6.6,12.75,38,92,Moderate,Low,1,Yes,"80,001+"
V927,Hatchback,3,180410,94,2169,24,9.2,11.23,45,52,Moderate,High,6,No,"50,001–80,000"
V928,SUV,15,7028,90,2311,32,16.1,12.0,32,81,Critical,Low,3,No,"50,001–80,000"
V929,SUV,13,97916,101,2766,33,18.3,12.78,45,52,Good,Medium,5,No,"50,001–80,000"
V930,Sedan,7,163298,105,2250,44,16.9,12.08,38,34,Moderate,High,5,No,"50,001–80,000"
V931,Truck,6,54943,104,2486,49,15.7,11.39,30,50,Good,Low,5,No,"80,001+"
V932,Truck,1,65744,109,1774,29,10.1,11.34,37,61,Moderate,High,3,Yes,"25,001–50,000"
V933,Sedan,14,129432,94,1817,39,16.5,12.56,41,100,Worn,Low,5,No,"80,001+"
V934,Hatchback,2,62444,97,1868,41,6.9,11.48,34,102,Critical,Medium,11,No,"50,001–80,000"
V935,SUV,5,42125,96,2998,30,7.7,11.25,38,32,Critical,High,9,Yes,"25,001–50,000"
V936,SUV,8,71511,98,2413,22,13.9,12.14,39,88,Critical,Low,8,Yes,"50,001–80,000"
V937,Sedan,9,14386,92,1687,39,15.0,12.33,38,41,Moderate,High,11,Yes,"50,001–80,000"
V938,Hatchback,3,184214,88,2804,24,16.4,11.71,37,39,Moderate,Low,4,No,"80,001+"
V939,Hatchback,5,47149,95,2614,35,12.3,11.69,33,80,Good,Low,2,Yes,"80,001+"
V940,Sedan,8,130138,97,2394,41,16.6,12.18,44,85,Good,Medium,7,No,"80,001+"
V941,Hatchback,14,180303,93,2011,46,17.4,12.28,45,91,Moderate,Medium,8,Yes,"80,001+"
V942,Truck,1,179864,99,2702,23,15.8,11.93,45,48,Good,Low,11,Yes,"50,001–80,000"
V943,Sedan,4,41345,108,1621,23,16.8,12.87,43,77,Critical,Medium,9,Yes,"10,001–25,000"
V944,Truck,2,133608,109,2932,21,9.6,11.67,36,90,Critical,Medium,4,Yes,"25,001–50,000"
V945,Hatchback,12,69548,101,2169,36,15.2,11.15,34,31,Good,High,7,No,"25,001–50,000"
V946,Sedan,4,142749,91,1917,38,5.8,11.44,34,69,Moderate,High,12,Yes,"50,001–80,000"
V947,Truck,10,156205,108,1988,23,13.2,12.0,33,97,Good,High,8,Yes,"25,001–50,000"
V948,Truck,6,161791,86,1553,39,12.9,12.12,35,103,Critical,Low,12,Yes,"50,001–80,000"
V949,SUV,2,117873,87,1994,43,11.8,12.83,39,56,Good,Medium,3,Yes,"80,001+"
V950,SUV,5,105436,105,1782,49,5.3,11.45,44,44,Critical,High,9,Yes,"10,001–25,000"
